search_keyword,video_id,upload_date,username,description,play_count,digg_count,comment_count,video_url
Hamenang,7680762769238478087,2026-09-02 09:42:28,Mas Hamenang,Selamat jalan teman teman tim dalam Estafet Tunas Kelapa menuju Boyolali. Semoga selamat sampai tujuan adik-adik. #hamenang #klaten24jam #bupatiklaten #pramuka ,23900,923,33,https://www.tiktok.com/@mas.hamenang/video/7680762769238478087
Hamenang,7678399199519591700,2026-08-27 00:50:37,Adhit Lagi di Jawa,Yoiki bestieku bupati klaten @Hamenang Wajar Ismoyo ,298400,33900,603,https://www.tiktok.com/@adhitlive/video/7678399199519591700
Hamenang,7571428746033466645,2025-11-11 18:30:33,Hamenang Wajar Ismoyo,Bersepeda sekaligus meninjau rute International Cycling Festival 2026 yang akan diselenggarakan di Kabupaten Klaten. Kegiatan ini akan diikuti 30 negara eropa dan beberapa negara lain. Mari kita siapkan perhelatan internasional yang akan membanggakan Kabupaten Klaten. #bupatiklaten #hamenang #klaten #klatenkeren ,488500,14200,319,https://www.tiktok.com/@hamenangofficial/video/7571428746033466645
Hamenang,7576995535719058708,2025-11-26 18:32:32,Hamenang Wajar Ismoyo,"Terima kasih kepada Ibu, Bapak, Istri, Adik, rekan-rekan rumah dinas, serta masyarakat Kabupaten Klaten yang telah memberikan doa terbaik untuk saya dalam memasuki usia yang ke-37 tahun ini. Semoga doa-doa baik juga tercurah kagem panjenengan semuanya. Aamiin. #hamenang #klaten #klatenkeren #bupatiklaten #ulangtahun ",152000,4409,247,https://www.tiktok.com/@hamenangofficial/video/7576995535719058708
Hamenang,7567695286814919957,2025-11-01 17:02:49,Hamenang Wajar Ismoyo,Matur nuwun kepada Pak @purnomobelajarbaik_  atas informasinya mengenai warga kami. Saat ini sedang dilakukan penjemputan oleh keluarga didampingi Pak RW setempat. Nantinya setelah sampai di Klaten akan kami lakukan asesmen dan pendampingan oleh dinas terkait. Terima kasih. #hamenang #bupatiklaten #klatenkeren #klaten ,472200,13000,524,https://www.tiktok.com/@hamenangofficial/video/7567695286814919957
Hamenang,7633944272877767944,2026-04-29 05:42:45,SILET ✅,"Klaten - Krisis PD BKK Klaten menjadi sorotan publik. Nama Hamenang Wajar Ismoyo ikut terseret karena berada di dua fase penting: saat menjabat Ketua DPRD ketika pengawasan dinilai lemah, dan kini sebagai Bupati ketika lembaga keuangan daerah itu akhirnya kolaps. Ribuan nasabah terdampak, kepercayaan masyarakat menurun, sementara publik menuntut transparansi dan solusi nyata dari pemerintah daerah. Krisis ini bukan sekadar kegagalan institusi, tetapi cerminan pengawasan yang terlambat dan penanganan yang kini diuji. #PDBKKKlaten #KlatenHariIni #TransparansiPublik #RakyatButuhJawaban #BeritaKlaten",11300,120,43,https://www.tiktok.com/@silet.id/video/7633944272877767944
Hamenang,7635243956246203656,2026-05-02 17:46:09,Hamenang Wajar Ismoyo,"Pagi tadi memperingati Hari Pendidikan Nasional bersama seluruh peserta upacara di Alun-alun Kabupaten Klaten. Pendidikan adalah usaha bersama untuk membangun sumber daya yang kuat untuk menjadikan Indonesia sebagai negara yang maju. Maturnuwun kepada seluruh pihak yang telah berpartisipasi dalam upacara hari ini, panjenengan semuanya hebat. Semoga kita bisa meneladani ajaran Ki Hajar Dewantara, Ing Ngarso Sung Tulodo, Ing Madyo Mangun Karso, Tut Wuri Handayani. #hamenang #klaten #klatenkeren #bupatiklaten #hardiknas ",165700,13500,101,https://www.tiktok.com/@hamenangofficial/video/7635243956246203656
Hamenang,7676511503113014546,2026-08-21 22:45:19,ANGKRINGAN BU MANTRI,Matur suwun Bapak Bupati Klaten @Hamenang Wajar Ismoyo #angkringanbumantri #angkringan#klaten24jam #fypシ#semuaorang ,31400,484,24,https://www.tiktok.com/@angkringan_bu_mantri/video/7676511503113014546
Hamenang,7529747020337253638,2025-07-22 10:44:15,Hamenang Wajar Ismoyo,"Haru.. Bangga.. Bahagia.. campur aduk perasaan saya 1 harian kemarin.... setelah persiapan beberapa minggu.. dengan dinamika yg berubah2...  Alhamdulillah Klaten akhirnya bisa mencatatkan sejarahnya sebagai tempat diluncurkannya 80.081 Koperasi Desa Merah Putih se Indonesia oleh Bapak Presiden @prabowo pada Senin, 21 Juli 2025. Bapak Presiden ,Pimpinan Lembaga Tinggi Negara... Ketua DPR RI beserta para pimpinan komisi & Anggota, Wakil Ketua MPR RI beserta anggota.. Segenap  Menteri Kabinet Merah Putih Jajaran Direksi BUMN hingga Kepala Desa Se Jateng hadir di Klaten.. Semoga apa yang menjadi semangat Bapak Presiden menjadikan ekonomi yang lemah menjadi ekonomi kuat dengan semangat gotong royong dapat tercapai. Diawali dari Desa Bentangan ini, semoga Kopdes Merah Putih di seluruh Kabupaten Klaten dapat bergerak dan menuju Klaten yang semakin maju, sejahtera, dan berkelanjutan. Terimakasih kepada seluruh Stakeholder yg terlibat sehingga acara kemarin bisa terwujud dengan lancar di Klaten... apa yg terlihat mustahil alhamdulillah bisa wujudkan di Klaten kemarin... sekaligus Kami sampaikan mohon maaf kepada seluruh hadirin apabila dalam menerima kerawuhan panjenengan semua kemarin ada hal2 yg kurang berkenan...  Salam sehat bahagia & sukses selalu #hamenang #klatenkeren #prabowo",393900,18700,306,https://www.tiktok.com/@hamenangofficial/video/7529747020337253638
Hamenang,7538486017188269318,2025-08-14 23:55:59,Mas Hamenang,"Keseruan Mas Bupati @Hamenang Wajar Ismoyo sebelum nyanyi bareng Niken Salindri dan Woro Widowati di Kemalang, Klaten.  #bupatiklaten #hamenang #klaten #nikensalindry #worowidowati ",2100000,27200,195,https://www.tiktok.com/@mas.hamenang/video/7538486017188269318
